Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
1.10,1,Introduction,Organization Activities,"Which activities does your organization undertake, and which industry sectors does your organization lend to, invest in, and/or insure?",Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,C-FS0.7,New question,n/a,New question,n/a,No,No,No,Yes,Financial institutions can report on the size of the portfolio and the type of clients which they work with for the portfolio.,No,No,No,No
1.11,1,Introduction,Organization Activities,"Are greenhouse gas emissions and/or water-related impacts from the production, processing/manufacturing, distribution activities or the consumption of your products relevant to your current CDP disclosure?   ",Yes,"Climate Change, Water","AC, FB, PF",No,No,Modified question,"C-AC0.6/C-FB0.6/C-PF0.6, C-AC0.6a-g/C-FB0.6a-g/C-PF0.6a-g, C-AC0.6a/C-FB0.6a/C-PF0.6a, C-AC0.6b/C-FB0.6b/C-PF0.6b, C-AC0.6c/C-FB0.6c/C-PF0.6c, C-AC0.6d/C-FB0.6d/C-PF0.6d, C-AC0.6e/C-FB0.6e/C-PF0.6e, C-AC0.6g/C-FB0.6g/C-PF0.6g",n/a,n/a,Modified question,W-FB0.1a/W-AC0.1a,Yes,No,No,Yes,Questions from climate change and water questionnaires merged to reduce the reporting burden. The question was updated to clarify data requests and improve data quality.  ,No,No,No,No
1.12,1,Introduction,Organization Activities,Which part of the concrete value chain does your organization operate in?,No,Climate Change,CE,No,No,No change,C-CE0.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
1.13,1,Introduction,Organization Activities,In which part of the coal value chain does your organization operate?,Yes,"Climate Change, Water",CO,No,No,Modified question,C-CO0.7,n/a,n/a,New question,n/a,Yes,No,No,Yes,Minor changes to wording of data points to improve clarity of data requested.,No,No,No,No
1.14,1,Introduction,Organization Activities, In which part of the chemicals value chain does your organization operate? ,Yes,"Climate Change, Water",CH,No,No,Modified question,C-CH0.7,n/a,n/a,Modified question,W-CH0.1a,Yes,No,No,Yes,Minor changes to wording of data points to improve clarity of data requested.,No,No,No,No
1.15,1,Introduction,Organization Activities,Which real estate and/or construction activities does your organization engage in? ,No,Climate Change,"CN, RE",No,No,No change,C-CN0.7/C-RE0.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
1.16,1,Introduction,Organization Activities,In which part of the electric utilities value chain does your organization operate?,Yes,"Climate Change, Water",EU,No,No,Modified question,C-EU0.7,n/a,n/a,Modified question,W-EU0.1a,Yes,No,No,Yes,Minor changes to wording of data points to improve clarity of data requested.,No,No,No,No
1.16.1,1,Introduction,Organization Activities,"For your electricity generation activities, provide details of your nameplate capacity and electricity generation specifics for each technology employed.",Yes,"Climate Change, Water",EU,No,No,Modified question,C-EU8.2d,n/a,n/a,Modified question,W-EU0.1b,Yes,No,No,Yes,"Column ""Own or control operations which use this power generation source"" added to streamline reporting and allow for easier analysis.",No,No,No,No
1.17,1,Introduction,Organization Activities,In which part of the metals and mining value chain does your organization operate?,Yes,"Climate Change, Water",MM,No,No,Modified question,C-MM0.7,n/a,n/a,Modified question,W-MM0.1a/W-CO0.1a,Yes,No,No,Yes,Minor changes to wording of data points to improve clarity of data requested.,No,No,No,No
1.18,1,Introduction,Organization Activities,"Provide details on the mining projects covered by this disclosure, by specifying your project(s) type, location and mining method(s) used.",No,Biodiversity,M-B,No,No,n/a,n/a,This quesiton is now shown to Biodiversity disclosers instead of Forests disclosers,F-MM9.1/F-CO9.1,n/a,n/a,No,No,No,Yes,Question remains unchanged but will now be shown to organizations disclosing for biodiversity rather than forests.,No,No,No,No
1.19,1,Introduction,Organization Activities,In which part of the oil and gas value chain does your organization operate?,Yes,"Climate Change, Water",OG,No,No,Modified question,C-OG0.7,n/a,n/a,Modified question,W-OG0.1a,Yes,No,No,Yes,Minor changes to wording of data points to improve clarity of data requested.,No,No,No,No
1.20,1,Introduction,Organization Activities,Which parts of the steel value chain does your organization operate in?,No,Climate Change,ST,No,No,No change ,C-ST0.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
1.21,1,Introduction,Organization Activities,For which transport modes will you be providing data?,No,Climate Change,"TO, TS",No,No,No change,C-TO0.7/C-TS0.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
1.22,1,Introduction,Produce and sourced commodities,Provide details on the commodities that you produce and/or source. ,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F0.4, F1.1, F1.2, F1.5, F1.5a, F1.5d",n/a,n/a,No,No,No,Yes,Updated to combine three questions into one to streamline questions. New datapoints added on volumes and reasons for not disclosing as part of approach to the single forests score. ,No,Yes,No,Yes
1.23,1,Introduction,Produce and sourced commodities,Which of the following agricultural commodities that your organization produces and/or sources are the most significant to your business by revenue?,Yes,"Climate Change, Water","AC, FB, PF",No,No,Modified question,C-AC0.7/C-FB0.7/C-PF0.7,N/A,n/a,Modified question,W-FB1.1a/W-AC1.1a,Yes,No,No,Yes,The question has been integrated and the structure has changed from a “Select from/add row” to a “Fixed row” with a commodity per row. ,No,No,No,No
1.24,1,Introduction,Value chain mapping,Has your organization mapped its value chain? ,Yes,"Climate Change, Forests, Water",All sectors,No,No,New question,n/a,Modified question,"F2.2, F.2.2a",New question,n/a,Yes,No,Yes,Yes,"Previously only shown to forests disclosers, integrated to collect information from all disclosers on their approaches to value chain mapping. Alignment with ESRS. ",No,No,Yes,Yes
1.24.1,1,Introduction,Value chain mapping,"Have you mapped where in your direct operations or elsewhere in your value chain plastics are produced, commercialized, used, and/or disposed of?",No,Plastics,All sectors,No,No,n/a,n/a,n/a,n/a,Modified question,W10.1,No,No,No,Yes,Allows financial institutions and organizations to map where plastics supports revenue creation. End-of-life management was added as a value chain stage to cover the entire value chain. A new column was added to ask for which end-of-life management pathways are available to report which determines what is shown in 10.6.,No,No,No,No
1.24.2,1,Introduction,Value chain mapping,"Which commodities has your organization mapped in your upstream value chain (i.e., supply chain)?",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F2.2a,n/a,n/a,No,No,No,Yes,Updated to allow disclosers to report % of suppliers mapped per tier and improve data quality.,No,No,No,Yes
2.1,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Definition of Time Horizons,"How does your organization define short-, medium-, and long-term time horizons in relation to the identification, assessment, and management of your environmental dependencies, impacts, risks, and opportunities?",Yes,All,All sectors,Yes,No,Modified question,C2.1a,New question,n/a,New question ,n/a,Yes,Yes,Yes,No,"Integrated to request the time horizons used in assessment of dependencies, impacts, risks and opportunity in line with standards (notably IFRS S2/TNFD).",Yes,Yes,Yes,Yes
2.2,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Does your organization have a process for identifying, assessing, and managing environmental dependencies and/or impacts?",Yes,All,All sectors,Yes,No,Modified question,C15.3,Modified question,F-MM10.1/F-CO10.1,Modified question,W10.2,Yes,No,Yes,No,"Allows organizations to report whether they assess their environmental dependencies and impacts, in alignment with TNFD.",No,Yes,No,No
2.2.1,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Does your organization have a process for identifying, assessing, and managing environmental risks and/or opportunities?",Yes,All,All sectors,Yes,No,Modified question,"C2.1, C2.2g",Modified question,"F2.1, F2.1b, F-MM10.2/F-CO10.2",Modified question,"W3.3, W3.3c, W10.3",Yes,No,Yes,No,"Updated to allow organizations to report whether they assess their environmental risks and opportunities, and whether this is informed by their dependencies and impacts process, in alignment with TNFD. ",Yes,Yes,No,Yes
2.2.2,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Provide details of your organization’s process for identifying, assessing, and managing environmental dependencies, impacts, risks, and/or opportunities.",Yes,All,All sectors,Yes,No,Modified question,"C2.2, C2.2a, C15.3",Modified question,"F2.1a, F-MM10.2a/F-CO10.2a, F-MM10.2b/ F-CO10.2b, F-MM10.2c/F-CO10.2c",Modified question,"W3.3a, W3.3b, W10.2",Yes,No,Yes,No,Updated to allow organizations to report a single process for multiple environmental issues. Allows organizations to report dependencies and impacts in alignment with TNFD. Additional columns have been added to allow for easier analysis.,Yes,Yes,Yes,Yes
2.2.3,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Provide mining-specific details of your organization’s process for identifying, assessing, and managing biodiversity impacts.",No,Biodiversity,M-B,No,No,n/a,n/a,Modified question,F-MM10.1a/F-CO10.1a,n/a,n/a,No,No,No,Yes,Methods and tools' column removed to avoid repetition with 2.2.2.,No,No,No,No
2.2.4,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Does your organization have a process for identifying, assessing, and managing environmental dependencies and/or impacts related to your portfolio activities?",Yes,All,FS,No,No,New question,n/a,New question,n/a,New question,n/a,Yes,No,Yes,No,"Question added to allow for Financial institutions to report on environmental dependencies and/or impacts related to their portfolio activities, in alignment with TNFD.",No,No,No,No
2.2.5,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Does your organization have a process for identifying, assessing, and managing environmental risks and/or opportunities related to your portfolio activities?",Yes,All,FS,No,No,Modified question,"C-FS2.2b, FW-FS2.1",Modified question,n/a,Modified question,n/a,Yes,No,Yes,No,"Financial institutions can report on environmental risks and/or opportunities related to their portfolio activities, in alignment with TNFD.",No,No,No,No
2.2.6,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Provide details of your organization’s process for identifying, assessing, and managing environmental dependencies, impacts, risks, and/or opportunities related to your portfolio activities.",Yes,All,FS,No,No,Modified question,"C-FS2.2c, FW-FS2.1a",Modified question,n/a,Modified question,n/a,Yes,No,No,No,"Updated to allow for financial institutions to report a single process for environmental dependencies, impacts, risks, and/or opportunities covering multiple environmental issues for each portfolio. Additional columns have been added to allow for easier analysis.",No,No,No,No
2.2.7,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Are the interconnections between environmental dependencies, impacts, risks and/or opportunities assessed?",Yes,All,All sectors,No,No,New question,n/a,New question,n/a,New question,n/a,Yes,No,Yes,No,Question added to align with TNFD.,No,Yes,Yes,No
2.2.8,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Does your organization consider environmental information about your clients/investees as part of your due diligence and/or environmental dependencies, impacts, risks and/or opportunities assessment process?",Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS2.2d, FW-FS2.2",Modified question,n/a,Modified question,n/a,Yes,No,Yes,No,Introduced an environmental issue column facilitating integration.,No,No,No,No
2.2.9,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ","Process for identifying, assessing, and managing dependencies, impacts, risks and opportunities","Indicate the environmental information your organization considers about clients/investees as part of your due diligence and/or environmental dependencies, impacts, risks and/or opportunities assessment process, and how this influences decision-making.",Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS2.2e, FW-FS2.2a",Modified question,n/a,Modified question,n/a,Yes,No,Yes,Yes,Introduced an environmental issue column facilitating integration. Organizations are requested to report the '% of portfolio covered by the process in relation to total portfolio value'. Open text field has been removed.,No,No,No,No
2.3,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Priority Locations,Have you identified priority locations across your value chain?,Yes,"Forests, Water, Biodiversity",All (except FS),No,No,n/a,n/a,New question,n/a,New question,n/a,No,No,Yes,No,Question added to align with TNFD.,No,Yes,Yes,No
2.4,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Definition of Substantive Effects,How does your organization define substantive effects on your organization?,Yes,All,All sectors,Yes,No,Modified question,C2.1b,Modified question,"F3.1a, F-MM11.2a/F-CO11.2a",Modified question,W4.1a,Yes,No,No,Yes,Improved for data quality and to clarify the link to risks and opportunities disclosure. ,No,No,Yes,Yes
2.5,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Pollutant management procedures,Does your organization identify and classify potential water pollutants associated with its activities that could have a detrimental impact on water ecosystems or human health?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W3.1,No,No,No,No,No change question,No,Yes,No,No
 2.5.1,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Pollutant management procedures,Describe how your organization minimizes the adverse impacts of potential water pollutants on water ecosystems or human health associated with your activities.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W3.1a,No,No,No,No,No change question,No,Yes,No,No
2.6,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Tailings dams management procedures W-MM/CO only,"By river basin, what number of active and inactive tailings dams are within your control?",No,Water,"MM, CO",No,No,n/a,n/a,n/a,n/a,Revised question dependency,W-MM3.2/W-CO3.2,No,No,No,Yes,"Question dependency has been revised. Question now depends on selecting “Surface coal mining” or “Underground coal mining” in column “Aspect” of 1.13, and on 1.17 for selecting “Mining”. Definition for tailings dams added.",No,No,No,No
 2.6.1,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Tailings dams management procedures W-MM/CO only,Do you evaluate and classify the tailings dams under your control according to the consequences of their failure to human health and ecosystems?,No,Water,"MM, CO",No,No,n/a,n/a,n/a,n/a,No change,W-MM3.2a/W-CO3.2a,No,No,No,No,No change question,No,No,No,No
 2.6.2,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Tailings dams management procedures W-MM/CO only,Provide details for all dams classified as 'hazardous' or 'highly hazardous'.,No,Water,"MM, CO",No,No,n/a,n/a,n/a,n/a,No change,W-MM3.2b/W-CO3.2b,No,No,No,No,No change question,No,No,No,No
 2.6.3,2,"Identification, Assessment and Management of Dependencies, Impacts, Risks, and Opportunities ",Tailings dams management procedures W-MM/CO only,"To manage the potential impacts to human health or water ecosystems associated with the tailings dams in your control, what procedures are in place for all of your dams?",No,Water,"MM, CO",No,No,n/a,n/a,n/a,n/a,No change,W-MM3.2c/W-CO3.2c,No,No,No,No,No change question,No,No,No,No
3.1,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"Have you identified any environmental risks which have had a substantive effect on your organization in the reporting year, or are anticipated to have a substantive effect on your organization in the future?",Yes,All,All sectors,Yes,No,Modified question,"C2.3, C2.3b, FW-FS2.3",Modified question,"F1.6, F3.1, F3.1c, F-MM9.5/F-CO9.5, F-MM11.2/F-CO11.2",Modified question,"W2.1, W4.1, W4.2b, W4.2c, W10.3",Yes,No,No,No,The main change allows organizations to report on multiple environmental issues. Value chain options from the 2023 Water questionnaire are now shown to all disclosers in column 1.,No,Yes,Yes,Yes
3.1.1,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"Provide details of the environmental risks identified which have had a substantive effect on your organization in the reporting year, or are anticipated to have a substantive effect on your organization in the future.",Yes,All,All sectors,Yes,No,Modified question,C2.3a,Modified question,"F1.6a, F3.1b, F-MM11.2b/F-CO11.2b, F-MM9.5a/F-CO9.5a, FW-FS2.3a",Modified question,"W2.1a, W4.2, W4.2a",Yes,Yes,Yes,No,"Organizations requested to report risks with substantive effects in the reporting year and risks anticipated to have substantive effects in the future. Integration led to more details about the risk requested (e.g. country area). Qualitative information on effects, and if possible quantitative, is asked per time horizon.",Yes,Yes,Yes,Yes
3.1.2,3,Disclosure of Risks and Opportunities ,Risk Disclosure,Provide the amount and proportion of your financial metrics from the reporting year that are vulnerable to the substantive effects of environmental risks. ,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,New question,n/a,New question,n/a,New question,n/a,No,Yes,Yes,No,New question added in alignment with IFRS S2/TNFD.,Yes,Yes,Yes,Yes
3.2,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"Within each river basin, how many facilities are exposed to substantive effects of water-related risks, and what percentage of your total number of facilities does this represent?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W4.1c,No,No,No,Yes,The datapoint on the “Number of facilities exposed to water-related risk per river basin” has been split out to request a number of facilities for each value chain stage within the same river basin. The datapoint on the “% of total facilities exposed to water-related risk in this river basin” is now only asked for direct operations.,No,Yes,Yes,No
3.3,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"In the reporting year, was your organization subject to any fines, enforcement orders, and/or other penalties for water-related regulatory violations?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W2.2,No,No,No,No,No change question,No,Yes,No,No
3.3.1,3,Disclosure of Risks and Opportunities ,Risk Disclosure,Provide the total number and financial value of all water-related fines.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W2.2a,No,No,No,No,No change question,No,Yes,No,No
3.3.2,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"Provide details for all significant fines, enforcement orders and/or other penalties for water-related regulatory violations in the reporting year, and your plans for resolving them.",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W2.2b,No,No,No,No,No change question,No,Yes,Yes,No
3.4,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"In the reporting year, was your organization subject to any fines, enforcement orders, and/or other penalties for violation of biodiversity-related regulation?",No,Biodiversity,M-B,No,No,n/a,n/a,This quesiton is now shown to Biodiversity disclosers instead of Forests disclosers,F-MM9.6/F-CO9.6,n/a,n/a,No,No,No,No,No change question,No,No,No,No
3.4.1,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"Provide details for all significant fines, enforcement orders and/or other penalties for biodiversity-related regulatory violations in the reporting year, and your plans for resolving them.",No,Biodiversity,M-B,No,No,n/a,n/a,This quesiton is now shown to Biodiversity disclosers instead of Forests disclosers,F-MM9.6a/F-CO9.6a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
3.5,3,Disclosure of Risks and Opportunities ,Risk Disclosure,"Are any of your operations or activities regulated by a carbon pricing system (i.e. ETS, Cap & Trade or Carbon Tax)?",No,Climate Change,All (except FS),No,No,No change,C11.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
3.5.1,3,Disclosure of Risks and Opportunities ,Risk Disclosure,Select the carbon pricing regulations which impact your operations.,No,Climate Change,All (except FS),No,No,Minor change,C11.1a,n/a,n/a,n/a,n/a,No,No,No,Yes,Update list of carbon pricing regulations to align with carbon pricing dashboard.,No,No,No,No
3.5.2,3,Disclosure of Risks and Opportunities ,Risk Disclosure,Provide details of each Emissions Trading Scheme (ETS) your organization is regulated by.,No,Climate Change,All (except FS),No,No,Modified question,C11.1b,n/a,n/a,n/a,n/a,No,No,No,Yes,Update list of carbon pricing regulations to align with carbon pricing dashboard.,No,No,Yes,No
3.5.3,3,Disclosure of Risks and Opportunities ,Risk Disclosure,Complete the following table for each of the tax systems you are regulated by.,No,Climate Change,All (except FS),No,No,Modified question,C11.1c,n/a,n/a,n/a,n/a,No,No,No,Yes,Update list of carbon pricing regulations to align with carbon pricing dashboard.,No,No,No,No
3.5.4,3,Disclosure of Risks and Opportunities ,Risk Disclosure,What is your strategy for complying with the systems you are regulated by or anticipate being regulated by?,No,Climate Change,All (except FS),No,No,No change,C11.1d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
3.6,3,Disclosure of Risks and Opportunities ,Opportunities Disclosure,"Have you identified any environmental opportunities which have had a substantive effect on your organization in the reporting year, or are anticipated to have a substantive effect on your organization in the future?",Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C2.4, C2.4b, FW-FS2.4",Modified question,"F3.2, F3.2b, F-MM11.3/F-CO11.3",Modified question,"W4.3, W4.3b",Yes,No,No,No,Introduced an environmental issue column facilitating integration.,No,Yes,Yes,No
3.6.1,3,Disclosure of Risks and Opportunities ,Opportunities Disclosure,"Provide details of the environmental opportunities identified which have had a substantive effect on your organization in the reporting year, or are anticipated to have a substantive effect on your organization in the future.",Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C2.4a, FW-FS2.4a",Modified question,"F3.2a, F-MM11.3a/F-CO11.3a",Modified question,W4.3a,Yes,Yes,Yes,No,"Organizations requested to report opportunities with substantive effects in the reporting year and opportunities anticipated to have substantive effects. Integration led to more details about the opportunity requested (e.g. country area). Qualitative information on effects, and if possible quantitative, is asked per time horizon.",Yes,Yes,Yes,No
3.6.2,3,Disclosure of Risks and Opportunities ,Opportunities Disclosure,Provide the amount and proportion of your financial metrics in the reporting year that are aligned with the substantive effects of environmental opportunities. ,Yes,"Climate Change, Forests, Water",All sectors,Yes,No,New question,n/a,New question,n/a,n/a,n/a,No,Yes,Yes,No,Driven directly by IFRS S2/TNFD alignment.,Yes,No,No,No
4.1,4,Governance,Board Oversight,Does your organization have a board of directors or an equivalent governing body?,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,New question,n/a,New question,n/a,New Question,n/a,No,Yes,Yes,Yes,"To indicate whether there is a board or equivalent, and if yes, they will be requested on frequency of meeting and composition of the board.",No,No,Yes,No
4.1.1,4,Governance,Board Oversight,Is there board-level oversight of environmental issues within your organization?,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C1.1, C1.1c, C15.1, FW-FS1.1",Modified question,"F4.1, F4.1c, F-MM12.1/F-CO12.1",Modified question,"W6.2, W6.2c",Yes,No,No,No,"Integrated, and allows organizations to report the details if they do not have oversight.",No,No,Yes,Yes
4.1.2,4,Governance,Board Oversight,Identify the positions (do not include any names) of the individuals or committees on the board with accountability for environmental issues and provide details of the board’s oversight of environmental issues.,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C1.1a, C1.1b, FW-FS1.1, FW-FS1.1b",Modified question,"F4.1a, F4.1b, F-MM12.1a/F-CO12.1a, F-MM12.1b/F-CO12.1b",Modified question,"W6.2a, W6.2b",Yes,Yes,Yes,No,Details on oversight for each environmental issue is now requested in one question. Dropdown options updated for IFRS S2 and TNFS alignment. New datapoint on policies outlining accountability aligned with IFRS S2.,Yes,Yes,Yes,Yes
4.2,4,Governance,Board Competency,Does your organization’s board have competency on environmental issues?,Yes,"Climate Change, Forests, Water",All sectors,No,No,Modified question,"C1.1d, FW-FS1.1c",Modified question,F4.1d,Modified question,W6.2d,Yes,Yes,Yes,No,"Requests competency of board as a whole rather than individuals on board, aligning with IFRS S2 and ESRS. Improved request for competence and on mechanisms to maintain competence.",Yes,Yes,Yes,No
4.3,4,Governance,Management Responsibility,Is there management-level responsibility for environmental issues within your organization?,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C1.2, C15.1",Modified question,F4.2,Modified question,W6.3,No,No,No,Yes,Structure of the question has changed to allow organizations to report on multiple environmental issues in one question and to report details if there is no management-level responsibility.,No,Yes,No,Yes
4.3.1,4,Governance,Management Responsibility,Provide the highest senior management-level positions or committees with responsibility for environmental issues (do not include the names of individuals).,Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,Yes,No,Modified question,"C1.2, C15.1, FW-FS1.2",Modified question,"F4.2, F-MM12.2/F-CO12.2",Modified question,W6.3,No,Yes,Yes,No,Focus on highest-level senior management position to align with requests from IFRS S2/ESRS and minimize reporting burden. Dropdown options added and aligned with other governance questions.,Yes,Yes,Yes,Yes
4.4,4,Governance,Management competency,Does your organization have management-level competency on environmental issues?,Yes,"Climate Change, Forests, Water",All sectors,No,No,New question,n/a,New question,n/a,New question,n/a,No,Yes,Yes,Yes,Provides an alternative on competency to 4.2 for organizations without a board.,No,No,Yes,No
4.5,4,Governance,Incentives,"Do you provide monetary incentives for the management of environmental issues, including the attainment of targets?",Yes,"Climate Change, Forests, Water, Biodiversity",All sectors,No,No,Modified question,C1.3,Modified question,"F4.3, F-MM12.3/F-CO12.3",Modified question,W6.4,Yes,Yes,No,No,Allows organizations to report on multiple environmental issues. A new column on % total executive incentives added to align with IFRS S2. Only monetary incentives requested. New column on % total executive incentives added to align with IFRS S2. Only monetary incentives requested.,Yes,No,Yes,Yes
